"","rank","Team","Index","conference","division","color","logo","rating"
"1",1,"Alabama",1.72110419388916,"SEC","West","#690014","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png",24.9560108113928
"2",2,"Ohio State",1.57029894785141,"Big Ten","East","#DE3121","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png",22.7693347438454
"3",3,"Clemson",1.35244313641642,"ACC","Atlantic","#F66733","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png",19.6104254780381
"4",4,"Georgia",1.34442134626776,"SEC","East","#CC0000","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png",19.4941095208825
"5",5,"Cincinnati",0.939942444611612,"American Athletic","East","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png",13.6291654468684
"6",6,"BYU",0.911626079436677,"FBS Independents",NA,"#001E4C","http://a.espncdn.com/i/teamlogos/ncaa/500/252.png",13.2185781518318
"7",7,"Notre Dame",0.884551054112023,"FBS Independents",NA,"#00122b","http://a.espncdn.com/i/teamlogos/ncaa/500/87.png",12.8259902846243
"8",8,"Utah",0.855515089699059,"Pac-12","South","#890012","http://a.espncdn.com/i/teamlogos/ncaa/500/254.png",12.4049688006364
"9",9,"Oklahoma",0.847013306599621,"Big 12",NA,"#7b0000","http://a.espncdn.com/i/teamlogos/ncaa/500/201.png",12.2816929456945
"10",10,"Oregon",0.73667386312522,"Pac-12","North","#044520","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png",10.6817710153157
"11",11,"Wisconsin",0.666285221138781,"Big Ten","West","#A00001","http://a.espncdn.com/i/teamlogos/ncaa/500/275.png",9.66113570651232
"12",12,"TCU",0.639739116255644,"Big 12",NA,"#3C377D","http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png",9.27621718570684
"13",13,"Mississippi State",0.634198446113938,"SEC","West","#762123","http://a.espncdn.com/i/teamlogos/ncaa/500/344.png",9.1958774686521
"14",14,"Penn State",0.631969713555501,"Big Ten","East","#00265D","http://a.espncdn.com/i/teamlogos/ncaa/500/213.png",9.16356084655476
